Sea_Surface_Temperature,Atmospheric_Pressure,Humidity,Wind_Shear,Latitude,Proximity_to_Coastline,Cyclone
27.4981604754,1008.5214291923,89.2797576725,13.979877263,8.1198904067,1.3661761458,1
28.404460047,1001.2421773339,60.8233797718,19.5486477824,9.2467822136,0.6834045099,1
27.2169689718,995.742692949,77.2778007457,9.368437103,7.789877213,0.8663618433,1
27.8242799369,1003.5552788418,67.9869512863,12.7135165762,5.9290082544,0.6705241237,1
26.2602063719,1008.4665661176,98.625281323,17.1259602217,6.9534422801,0.9401524937,1
26.4881529394,994.8553073033,61.3755408446,18.6398060312,18.2504456871,1.0200680212,1
28.1868411174,985.5456336658,98.7833851106,16.6269923504,22.8965470086,1.421874235,1
26.3539700082,985.8794858726,61.8090915564,9.8799549614,10.4269806355,0.8567533267,1
27.1237380387,996.2808824947,65.636968999,17.0329547113,24.737738732,0.6987156815,1
26.0220884685,1004.4638428537,88.2742937539,15.9351075206,6.4808930347,0.6158690595,1
29.4524137035,998.6989438048,73.2359209941,5.9533752543,11.5036664405,1.1375574714,1
29.5488509703,994.1664477549,64.7837698375,15.6986718083,16.2255439514,0.9937955964,1
28.0909313175,992.8262305508,61.0167650698,6.6183714049,17.7282082253,1.0085706912,1
29.6302658957,987.4787668745,76.4153169214,16.3332670781,6.5395981966,0.6612212873,1
29.7187906094,1004.2436113869,85.3361502604,18.0719088528,8.7314011777,1.0393422419,1
29.2297606207,1006.8827389977,72.7201389989,6.6507788679,13.5421557725,1.3607305833,1
26.0278085221,995.3224190773,76.696440126,8.3316171571,11.7523034281,0.823202932,1
28.075162487,1001.0905687669,74.5451840952,19.5767312408,10.0356459165,0.8008783098,1
27.1393619775,981.1066084206,84.3825733592,12.5401853484,10.5729292847,0.7395618907,1
26.5795794884,994.6835828083,99.4260181644,8.6308290727,20.2323923066,1.2282163486,1
27.4711325309,998.9691749178,85.3411884304,13.0366202611,21.7060499118,0.6865185104,1
26.1631005662,997.7267882956,87.1025744737,5.2488174339,9.529915504,0.674366429,1
28.7637509524,991.602060389,97.4691995495,7.0628141622,7.2694704248,1.3773393534,1
27.0317665109,999.799521381,92.688888008,13.328012174,9.837045818,1.397215758,1
29.6016722287,998.9930437182,73.5611916419,10.2381436192,22.9422051991,1.2798755459,1
28.5681265846,982.5241989499,66.4651485638,18.4783128279,5.1839410323,1.1635017691,1
26.0202463354,984.8242415425,81.9493515747,15.3784279654,9.4853861892,0.7372490875,1
27.3015987926,1002.3947421535,85.9853159619,17.7383511574,16.3661720667,0.8677158031,1
27.0608094707,987.3196893014,98.9204221901,10.89646587,17.6227725199,1.0026370931,1
28.3076155385,994.7755308146,67.8097195119,15.8367817289,5.4863193286,0.6771106794,1
29.7618343374,1008.6178573101,96.5945756088,10.5523805038,23.5663712518,1.466654819,1
29.8544799084,1005.590283664,71.7779556828,10.776465929,11.3384401031,1.0568012625,1
29.7446190966,1000.8808939003,82.8024468036,6.4576474066,24.8010770021,1.0183296524,1
29.5094922877,1002.2230585326,87.8806296398,15.5372612598,10.8718368853,1.3101133947,1
29.4682892743,1007.3972165767,80.4536959544,12.5227444203,17.9992786156,1.2957926694,1
29.5600213673,990.1398547055,75.0233181056,6.4097290976,5.7188454759,1.0426446347,1
27.1461650085,997.7249978171,61.2200099976,5.5602228312,12.2038128282,1.0222432601,1
29.0799742124,986.4746308249,84.9156190328,6.2802119749,15.6270926314,1.1374299015,1
28.9043653349,1009.2755623839,80.652013932,9.8443470941,10.4166450252,0.5784563813,1
26.1014029737,1008.8794524403,93.4392048205,15.4396130914,8.4658864014,0.7502428982,1
28.1969066588,1001.437877681,86.4078950687,9.1990084542,19.7579383339,1.1117207462,1
27.6784002497,987.431929685,74.2389071461,16.367691657,7.3214528101,0.5407288023,1
29.421842336,1001.1097357814,78.9669531635,6.4675124098,14.4694354156,0.9338516492,1
27.5940189376,998.4755029416,85.4037460347,5.6795601466,17.5171983143,1.3564898412,1
28.6347745265,984.8880328124,62.822749896,14.6362891731,16.7155116255,1.0754741779,1
27.5526797048,999.2986465533,78.3301156197,13.1842518397,12.722052756,1.405350642,1
26.7831645392,982.0808390263,64.0311200551,5.2733273848,18.6601354683,0.8189756303,1
29.3795012439,980.6981580721,92.5787393036,9.2278216216,18.9347433073,1.3774720135,1
28.9402841752,1004.1044279116,71.2813829029,7.6615931567,21.1366947853,0.9126176769,1
27.4880723432,1003.2923888223,73.6321416101,18.9613598841,13.5798805475,1.2545428741,1
26.4124954753,1007.0765872004,80.2100948979,17.3968619916,22.9104645699,0.5108376515,1
29.6215279057,982.7386003036,72.7725455036,19.2509295058,16.4687577625,0.948445522,1
27.1728430868,989.8599363611,86.9007382431,16.2856179416,20.7923628559,0.9944203047,1
26.2302350401,996.4858664697,77.6612200549,18.3155627414,7.3413403286,1.2615106317,1
28.4728722533,983.0336802837,63.3642722446,15.5145369719,21.4372011858,0.5813487806,1
26.3393508563,1009.599187355,74.9708318302,10.559632206,23.9449715477,1.2533781853,1
27.5050383421,982.505021501,91.0858766371,13.376063746,23.1270877019,0.9926251043,1
26.0454145791,994.0598192598,62.2521310273,6.782268744,17.9842060423,1.0833687651,1
29.8486901939,991.2461173857,71.4284834513,18.0289869228,24.2644507888,1.4698788267,1
26.1726396478,1006.734293411,81.1080443635,19.8944719418,16.077085688,1.0230978442,1
28.5175945525,1000.8724606695,78.1816425907,14.4133712013,23.0231602098,0.7809631896,1
29.8016459363,1006.7079135167,78.2262701114,14.301988967,8.7624231945,0.853352228,1
28.3346244474,982.332039109,98.9757923066,19.7931611672,15.7219273269,1.3137950197,1
28.7389246902,984.8785081803,96.4370873798,17.3380586438,19.5143901678,0.9182430363,1
29.7309139334,1005.981916685,61.8087468042,5.3955046175,21.2110666156,0.6504168911,1
28.3765228614,991.4267256989,98.7965759126,17.631783847,14.3738631959,0.7734070719,1
26.2255019866,1005.9416712877,92.5160403652,19.9957650993,16.1086341121,1.4447657299,1
29.3985895627,987.4204430523,78.0217654124,6.9373912273,17.123492689,1.1717006844,1
28.4725129618,990.744881541,64.542303688,15.0735979339,20.4463678347,1.3521815003,1
28.2076273551,996.8281391461,95.0661441063,11.0522429932,5.5756535263,1.1203095514,1
28.8163190724,986.3889248453,65.4548590235,5.218169985,16.7983537371,0.937474922,1
29.616634778,990.4476640107,80.5595795664,16.7547951911,17.4417340046,1.4495206237,1
26.5882939237,1007.7976287549,79.6846517232,8.8736658245,24.6006515057,0.8287516103,1
28.5336034173,987.2043685633,63.0345331243,6.9331958287,8.0380538702,1.1408747448,1
26.7275203376,990.3700184997,95.8715363962,12.1094246039,8.446397424,0.5408686163,1
26.6757402523,988.357710171,67.0804193711,6.3305380064,14.2155753607,0.864269861,1
28.0136690834,1000.7118448589,61.5724855936,16.9911559836,6.635180639,1.4208724005,1
26.2443118394,988.3063294444,92.2480511917,16.2238953558,9.1869864667,0.9845229852,1
28.4730190861,991.0674091871,78.5013886453,16.212064072,10.0487388869,1.3952068377,1
28.0467097685,995.963404558,64.2868804536,11.7111855024,9.8494100727,0.8772841631,1
26.0802847911,989.6623749675,68.4579202799,9.9124602827,22.8105456148,1.1791023191,1
29.1566849544,994.9532659679,63.4768115235,13.0565981273,19.9087894837,0.6275803028,1
27.1351036232,990.892468892,85.8366896533,13.56167457,24.7303049759,0.7372267917,1
26.4071298905,984.5857741755,69.8383091354,7.4102205989,10.7019033739,1.3967654246,1
